Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
Rhea pennata,Lesser Rhea,,Rheidae,,,,,
,,,,Rhea pennata,Lesser Rhea,,Rheidae,
,,,,Rhea tarapacensis,Puna Rhea,,Rheidae,
Dromaius novaehollandiae,Emu,,Dromaiidae,,,,,
,,,,Dromaius novaehollandiae,Common Emu,,Casuariidae,
,,,,Dromaius minor,King Island Emu,,Casuariidae,
,,,,Dromaius baudinianus,Kangaroo Island Emu,,Casuariidae,
Apteryx mantelli,North Island Brown Kiwi,,Apterygidae,Apteryx mantelli,Northern Brown Kiwi,,Apterygidae,
Crypturellus cinnamomeus,Thicket Tinamou,,Tinamidae,,,,,
,,,,Crypturellus cinnamomeus,Eastern Thicket Tinamou,,Tinamidae,
,,,,Crypturellus occidentalis,Western Thicket Tinamou,,Tinamidae,
Nothura chacoensis,Chaco Nothura,,Tinamidae,,,,,
,,,,Nothura maculosa,Spotted Nothura,,Tinamidae,
Nothura maculosa,Spotted Nothura,,Tinamidae,,,,,
,,,,Tachybaptus ruficollis,Little Grebe,,Podicipedidae,
Tachybaptus ruficollis,Little Grebe,,Podicipedidae,,,,,
Tachybaptus tricolor,Tricolored Grebe,,Podicipedidae,,,,,
,,,,Podiceps andinus,Colombian Grebe,,Podicipedidae,
Podiceps occipitalis,Silvery Grebe,,Podicipedidae,,,,,
,,,,Podiceps occipitalis,Southern Silvery Grebe,,Podicipedidae,
,,,,Podiceps juninensis,Northern Silvery Grebe,,Podicipedidae,
,,,,Eudyptes chrysocome,Southern Rockhopper Penguin,,Spheniscidae,
Eudyptes chrysocome,Western Rockhopper Penguin,,Spheniscidae,,,,,
Eudyptes filholi,Eastern Rockhopper Penguin,,Spheniscidae,,,,,
Gavia arctica,Black-throated Loon,,Gaviidae,Gavia arctica,Arctic Loon,,Gaviidae,
Gavia immer,Great Northern Loon,,Gaviidae,Gavia immer,Common Loon,,Gaviidae,
Thalassarche cauta,Shy Albatross,,Diomedeidae,,,,,
,,,,Thalassarche cauta,Shy Albatross,,Diomedeidae,
,,,,Thalassarche steadi,White-capped Albatross,,Diomedeidae,
,,,,Pterodroma cervicalis,White-necked Petrel,,Procellariidae,
Pterodroma cervicalis,White-necked Petrel,,Procellariidae,,,,,
Pterodroma occulta,Vanuatu Petrel,,Procellariidae,,,,,
Pterodroma leucoptera,Gould's Petrel,,Procellariidae,Pterodroma leucoptera,White-winged Petrel,,Procellariidae,
Pterodroma defilippiana,De Filippi's Petrel,,Procellariidae,Pterodroma defilippiana,Masatierra Petrel,,Procellariidae,
Pterodroma macroptera,Great-winged Petrel,,Procellariidae,,,,,
,,,,Pterodroma macroptera,Great-winged Petrel,,Procellariidae,
,,,,Pterodroma gouldi,Grey-faced Petrel,,Procellariidae,
Pterodroma feae,Fea's Petrel,,Procellariidae,Pterodroma feae,Cape Verde Petrel,,Procellariidae,
Pterodroma hasitata,Black-capped Petrel,,Procellariidae,,,,,
,,,,Pterodroma hasitata,Black-capped Petrel,,Procellariidae,
,,,,Pterodroma caribbaea,Jamaican Petrel,,Procellariidae,
Pachyptila salvini,Salvin's Prion,,Procellariidae,,,,,
,,,,Pachyptila salvini,Salvin's Prion,,Procellariidae,
,,,,Pachyptila macgillivrayi,MacGillivray's Prion,,Procellariidae,
Calonectris diomedea,Cory's Shearwater,,Procellariidae,,,,,
,,,,Calonectris diomedea,Scopoli's Shearwater,,Procellariidae,
,,,,Calonectris borealis,Cory's Shearwater,,Procellariidae,
Puffinus pacificus,Wedge-tailed Shearwater,,Procellariidae,Ardenna pacifica,Wedge-tailed Shearwater,,Procellariidae,
Puffinus bulleri,Buller's Shearwater,,Procellariidae,Ardenna bulleri,Buller's Shearwater,,Procellariidae,
Puffinus carneipes,Flesh-footed Shearwater,,Procellariidae,Ardenna carneipes,Flesh-footed Shearwater,,Procellariidae,
Puffinus creatopus,Pink-footed Shearwater,,Procellariidae,Ardenna creatopus,Pink-footed Shearwater,,Procellariidae,
Puffinus gravis,Great Shearwater,,Procellariidae,Ardenna gravis,Great Shearwater,,Procellariidae,
