"","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","Scientific","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"1",28,"Nonpasseriformes","Struthioniformes","Struthionidae","Ostriches",2,"BL3","Struthio camelus","Ostrich",10,0,0,0,10,0,0,0,30,50,"PlantSeed","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,111000,"Dunning08",1,"","","Struthio camelus",132189458,45020636,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","STRUTHIONIDAE","Struthio","camelus","Linnaeus, 1758","Least Concern","Decreasing","Global"
"2",37,"Nonpasseriformes","Rheiformes","Rheidae","Rheas",3,"BL3","Rhea americana","Greater Rhea",20,10,10,0,0,0,20,0,20,20,"Omnivore","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,23000,"Dunning08",1,"","","Rhea americana",92754472,22678073,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","RHEIDAE","Rhea","americana","(Linnaeus, 1758)","Near Threatened","Decreasing","Global"
"3",38,"Nonpasseriformes","Rheiformes","Rheidae","Rheas",3,"BL3","Rhea pennata","Lesser Rhea",20,0,0,0,10,0,0,0,30,40,"PlantSeed","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,23900,"Dunning08",1,"","","Rhea pennata",132179491,22728199,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","RHEIDAE","Rhea","pennata","d'Orbigny, 1834","Least Concern","Decreasing","Global"
"4",45,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries",4,"BL3","Casuarius casuarius","Southern Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect","Ref_1","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_1",1,"Jessica",0,44000,"Dunning08",1,"","","Casuarius casuarius",131902050,22678108,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","CASUARIIDAE","Casuarius","casuarius","(Linnaeus, 1758)","Least Concern","Decreasing","Global"
"5",46,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries",4,"BL3","Casuarius bennetti","Dwarf Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect","Ref_1","B","Jennifer",0,0,80,20,0,0,0,0,"Ref_1",1,"Jessica",0,34999.99,"Dunning08",1,"","","Casuarius bennetti",92755192,22678111,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","CASUARIIDAE","Casuarius","bennetti","Gould, 1857","Least Concern","Stable","Global"
"6",47,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries",4,"BL3","Casuarius unappendiculatus","Northern Cassowary",20,0,0,0,10,0,60,0,0,10,"FruiNect","Ref_1","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_1",1,"Jessica",0,46073.85,"Dunning08",1,"","","Casuarius unappendiculatus",118134784,22678114,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","CASUARIIDAE","Casuarius","unappendiculatus","Blyth, 1860","Least Concern","Decreasing","Global"
"7",48,"Nonpasseriformes","Casuariiformes","Dromaiidae","Emus",5,"BL3","Dromaius novaehollandiae","Emu",20,0,0,0,0,0,30,0,30,20,"Omnivore","Ref_1","A","Jennifer",0,0,20,80,0,0,0,0,"Ref_1",1,"Jessica",0,34093.25,"Dunning08",1,"","","Dromaius novaehollandiae",131902466,22678117,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","CASUARIIDAE","Dromaius","novaehollandiae","(Latham, 1790)","Least Concern","Stable","Global"
"8",55,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis",6,"BL3","Apteryx australis","Southern Brown Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",1,2320.51,"Dunning08",1,"","","Apteryx australis",155418586,22678122,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","APTERYGIDAE","Apteryx","australis","Shaw, 1813","Vulnerable","Decreasing","Global"
"9",57,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis",6,"BL3","Apteryx owenii","Little Spotted Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate","Ref_1","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_1",1,"Jessica",1,1238.29,"Dunning08",1,"","","Apteryx owenii",92756395,22678129,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","APTERYGIDAE","Apteryx","owenii","Gould, 1847","Near Threatened","Increasing","Global"
"10",58,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis",6,"BL3","Apteryx haastii","Great Spotted Kiwi",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_1","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_1",1,"Jessica",1,2022.68,"Dunning08",1,"","","Apteryx haastii",92756666,22678132,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","APTERYGIDAE","Apteryx","haastii","Potts, 1872","Vulnerable","Decreasing","Global"
"11",65,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Tinamus tao","Grey Tinamou",10,0,0,0,0,0,40,0,30,20,"Omnivore","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,1600.1,"Dunning08",1,"","","Tinamus tao",136638024,22678135,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Tinamus","tao","Temminck, 1815","Vulnerable","Decreasing","Global"
"12",66,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Tinamus solitarius","Solitary Tinamou",20,0,0,0,0,0,40,0,20,20,"Omnivore","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,1386.41,"Dunning08",1,"","","Tinamus solitarius",136639334,22678139,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Tinamus","solitarius","(Vieillot, 1819)","Near Threatened","Decreasing","Global"
"13",67,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Tinamus osgoodi","Black Tinamou",0,0,0,0,0,0,50,0,40,10,"Omnivore","Ref_1","D1","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",0,1285,"Dunning08",1,"","","Tinamus osgoodi",136641166,22678145,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Tinamus","osgoodi","Conover, 1949","Vulnerable","Decreasing","Global"
"14",68,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Tinamus major","Great Tinamou",20,0,10,0,0,0,40,0,30,0,"Omnivore","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,1026.21,"Dunning08",1,"","","Tinamus major",110915916,22678148,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Tinamus","major","(Gmelin, 1789)","Near Threatened","Decreasing","Global"
"15",69,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Tinamus guttatus","White-throated Tinamou",20,0,0,0,20,0,60,0,0,0,"FruiNect","Ref_1","B","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,686.18,"Dunning08",1,"","","Tinamus guttatus",136647817,22678151,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Tinamus","guttatus","Pelzeln, 1863","Near Threatened","Decreasing","Global"
"16",70,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Nothocercus bonapartei","Highland Tinamou",30,0,0,0,20,0,50,0,0,0,"Omnivore","Ref_1","B","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,763,"Dunning08",1,"","","Nothocercus bonapartei",92758475,22678154,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Nothocercus","bonapartei","Gray, 1867","Least Concern","Decreasing","Global"
"17",71,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Nothocercus julius","Tawny-breasted Tinamou",30,0,0,0,20,0,30,0,20,0,"Omnivore","Ref_1","D1","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",0,674.5,"GenAvg",0,"","","Nothocercus julius",92758680,22678157,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Nothocercus","julius","(Bonaparte, 1854)","Least Concern","Decreasing","Global"
"18",72,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Nothocercus nigrocapillus","Hooded Tinamou",0,0,0,0,0,0,0,0,100,0,"PlantSeed","Ref_1","B","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,586,"PrimScale",1,"MarceloR","","Nothocercus nigrocapillus",92758851,22678160,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Nothocercus","nigrocapillus","(G. R. Gray, 1867)","Vulnerable","Decreasing","Global"
"19",73,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Crypturellus berlepschi","Berlepsch's Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1","Jennifer",0,0,80,20,0,0,0,0,"Genus",0,"Walter",0,516.83,"Dunning08",1,"","","Crypturellus berlepschi",92759082,22678163,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Crypturellus","berlepschi","Rothschild, 1897","Least Concern","Decreasing","Global"
"20",74,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Crypturellus cinereus","Cinereous Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_1","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_1",1,"Jessica",0,506.63,"Dunning08",1,"","","Crypturellus cinereus",92759241,22678166,"ANIMALIA","CHORDATA","STRUTHIONIFORMES","AVES","TINAMIDAE","Crypturellus","cinereus","(Gmelin, 1789)","Least Concern","Decreasing","Global"
