"","Scientific","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"1","Tachyglossus aculeatus","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",3025,"Ref_117",1,"Tachyglossus aculeatus",21964662,41312,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Tachyglossus","aculeatus","(Shaw, 1792)","Least Concern","Stable","Global"
"2","Zaglossus attenboroughi","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_65","ABC","G","A","",1,0,0,"Ref_1","ABC",8532.39,"Ref_2, Ref_3",0,"Zaglossus attenboroughi",21964353,136322,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Zaglossus","attenboroughi","Flannery &amp; Groves, 1998","Critically Endangered","Decreasing","Global"
"3","Zaglossus bartoni","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1","G","A","",1,0,0,"Ref_1","ABC",7180,"Ref_131",1,"Zaglossus bartoni",21964496,136552,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Zaglossus","bartoni","(Thomas, 1907)","Vulnerable","Decreasing","Global"
"4","Ornithorhynchus anatinus","Ornithorhynchidae",80,0,0,20,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1484.25,"Ref_117",1,"Ornithorhynchus anatinus",21964009,40488,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","ORNITHORHYNCHIDAE","Ornithorhynchus","anatinus","(Shaw, 1799)","Near Threatened","Decreasing","Global"
"5","Caluromys philander","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",229.25,"Ref_117",1,"Caluromys philander",97206149,3649,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","philander","Linnaeus, 1758","Least Concern","Decreasing","Global"
"6","Caluromys derbianus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",297,"Ref_117",1,"Caluromys derbianus",22175821,3650,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","derbianus","Waterhouse, 1841","Least Concern","Decreasing","Global"
"7","Caluromys lanatus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",325,"Ref_117",1,"Caluromys lanatus",22175609,3648,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","lanatus","(Olfers, 1818)","Least Concern","Decreasing","Global"
"8","Caluromysiops irrupta","Didelphidae",20,0,0,0,0,0,20,40,0,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",250,"Ref_117",1,"Caluromysiops irrupta",97206475,3651,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromysiops","irrupta","Sanborn, 1951","Least Concern","Decreasing","Global"
"9","Glironia venusta","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",114,"Ref_117",1,"Glironia venusta",22179598,9245,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Glironia","venusta","Thomas, 1912","Least Concern","Unknown","Global"
"10","Chironectes minimus","Didelphidae",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",946,"Ref_117",1,"Chironectes minimus",22173467,4671,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Chironectes","minimus","(Zimmermann, 1780)","Least Concern","Decreasing","Global"
"11","Didelphis aurita","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1163.99,"Ref_117",1,"Didelphis aurita",22175929,40500,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","aurita","(Wied-Neuwied, 1826)","Least Concern","Stable","Global"
"12","Didelphis imperfecta","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1260.04,"Ref_2, Ref_3",0,"Didelphis imperfecta",22176554,136592,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","imperfecta","Mondolfi &amp; Pérez-Hernández, 1984","Least Concern","Stable","Global"
