"","X","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","Scientific","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"1",1,106,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous",1,"BL3","Nothura chacoensis","Chaco Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore","Ref_1","D1","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",0,226.08,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",12,263,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Francolinus psilolaemus","Moorland Francolin",0,0,0,0,0,0,0,0,0,100,"PlantSeed","Ref_2","C","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,478.33,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",13,264,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Francolinus shelleyi","Shelley's Francolin",30,0,0,0,0,0,0,0,20,50,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,488,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",34,289,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Francolinus castaneicollis","Chestnut-naped Francolin",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_2","A","Jennifer",0,0,70,30,0,0,0,0,"Ref_2",1,"Jessica",0,791.53,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",41,313,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Coturnix chinensis","Blue Quail",30,0,0,0,0,0,0,0,40,30,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,40.41,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",45,417,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Dendragapus canadensis","Spruce Grouse",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,473.65,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",70,823,"Nonpasseriformes","Piciformes","Indicatoridae","Honeyguides",94,"IOC27","Indicator conirostris","Thick-billed Honeyguide",30,0,0,0,0,0,20,50,0,0,"FruiNect","Ref_7","A","Jennifer",0,0,0,40,40,10,10,0,"Ref_7",1,"Jessica",0,31.8,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",75,926,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Mesopicos elliotii","Elliot's Woodpecker",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,33,33,33,0,0,"Ref_7",1,"Jessica",0,37.2,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",76,927,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Mesopicos goertae","Grey Woodpecker",90,0,0,0,0,0,0,0,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,0,100,0,0,0,"Ref_7",1,"Jessica",0,44.48,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",88,944,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Dendrocopos cathpharius","Crimson-breasted Woodpecker",70,0,0,0,0,0,0,30,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_7",1,"Jessica",0,30.74,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
