"","assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","Scientific.x","MSW3_ID","Scientific.y","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel"
"1",503146,11481,"Lemmus lemmus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Lemmus","lemmus",NA,NA,NA,"(Linnaeus, 1758)","Least Concern","",3.1,"Stable","Global & Europe","Lemmus lemmus",1485,"Lemmus lemmus","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",47.5,"Ref_117",1
"2",503908,11797,"Lepus castroviejoi","ANIMALIA","CHORDATA","LAGOMORPHA","MAMMALIA","LEPORIDAE","Lepus","castroviejoi",NA,NA,NA,"Palacios, 1977","Vulnerable","B1ab(v)",3.1,"Decreasing","Global, Europe & Mediterranean","Lepus castroviejoi",3165,"Lepus castroviejoi","Leporidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",2822.41,"Ref_58",1
"3",510082,12835,"Marmota marmota","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","SCIURIDAE","Marmota","marmota",NA,NA,NA,"(Linnaeus, 1758)","Least Concern","",3.1,"Stable","Global & Europe","Marmota marmota",1087,"Marmota marmota","Sciuridae",0,0,0,0,0,0,30,0,30,40,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",2010,"Ref_117",1
"4",513175,13462,"Microtus felteni","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","felteni",NA,NA,NA,"Malec &amp; Storch, 1963","Least Concern","",3.1,"Unknown","Global, Europe & Mediterranean","Microtus felteni",1419,"Microtus felteni","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",24.34,"Ref_178",2
"5",513559,13486,"Microtus thomasi","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","thomasi",NA,NA,NA,"(Barrett-Hamilton, 1903)","Least Concern","",3.1,"Stable","Global, Europe & Mediterranean","Microtus thomasi",1418,"Microtus thomasi","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",25.67,"Ref_178",2
"6",513663,13490,"Microtus multiplex","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","multiplex",NA,NA,NA,"(Fatio, 1905)","Least Concern","",3.1,"Stable","Global, Europe & Mediterranean","Microtus multiplex",1429,"Microtus multiplex","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",23.17,"Ref_117",1
"7",513760,13491,"Microtus savii","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","savii",NA,NA,NA,"(de Selys-Longchamps, 1838)","Least Concern","",3.1,"Stable","Global, Europe & Mediterranean","Microtus savii",1426,"Microtus savii","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",20,"Ref_117",1
"8",513875,13493,"Microtus duodecimcostatus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","duodecimcostatus",NA,NA,NA,"(de Selys-Longchamps, 1839)","Least Concern","",3.1,"Stable","Global, Europe & Mediterranean","Microtus duodecimcostatus",1416,"Microtus duodecimcostatus","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",23,"Ref_117",1
"9",513980,13494,"Microtus lusitanicus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","lusitanicus",NA,NA,NA,"(Gerbe, 1879)","Least Concern","",3.1,"Unknown","Global, Europe & Mediterranean","Microtus lusitanicus",1424,"Microtus lusitanicus","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",24.82,"Ref_178",2
"10",518440,136498,"Microtus liechtensteini","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","CRICETIDAE","Microtus","liechtensteini",NA,NA,NA,"(Wettstein, 1927)","Least Concern","",3.1,"Unknown","Global & Europe","Microtus liechtensteini",1422,"Microtus liechtensteini","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",37.99,"Ref_2, Ref_3",0
